# English method dictionary: word<TAB>Traditional Chinese candidate
# Generated from MCK-compatible English keys; project choices may override ambiguous mappings.
aardvark	土豬
accomplishment	成就
accord	給予
according	根據
accordion	手風琴
account	會計科目
accountability	問責
accountable	負責任
accountancy	會計學
accountant	會計
accounting	會計
accounts	據聞
accreditated	正式承認
accreditation	認證
accumulate	集結
accumulator	電瓶
accuracy	精密
accurate	不爽
accusation	指控
accuse	指控
accustom	使習慣
ace	么點
acerbic	澀
acetate	醋酸
acetidin	醋酸乙酯
acetone	丙酮
acetylene	乙炔
achaia	亞該亞
ache	牛車
achieve	實現
achievement	成就
achilles	阿奇歷斯
acid	酸
acidic	酸性
acidity	酸性
acknowledge	認知
acknowledgement	公證
acknowledgment	認可
acmite	鉥
acne	青春豆
aconcagua	阿空加瓜
acorn	栓皮櫟
acoustics	音響
acquaintance	相識
acquire	取得
acquired	習得性
acquisition	併購
acre	英畝
acrimony	刻薄
acrobatics	把戲
acrolein	丙烯醛
acrophobia	懼高症
acropolis	衛城
across	對過
act	一幕
actin	肌動蛋白
acting	演技
action	作用
actions	作用
activate	激活
activation	活化
active	活躍
activist	活動人士
activity	生活
actor	男演員
actress	女演員
acts	作用
actual	現實
actuality	現實
actually	其實
actuals	現貨
actuary	公證人
acupuncture	針砭
acute	激烈
acyl	醯
ad	日本
ada	關禁閉
adam	亞當
adams	亞當斯
adapt	接軌
adaptable	機動
adaptation	適配
adapter	轉接器
adaptive	自適應
add	巴林
added	額外
addendum	續增
addict	有藥癮者
addiction	癮頭
addison	艾迪生
addition	加法
additional	另外
additionally	附帶
additive	相加性的
address	地址
addressee	收貨人
adeline	愛德玲
aden	亞丁
adenocarcinoma	腺癌
adenovirus	腺病毒
adept	內行
adequate	充足
adhere	附著
adherent	追隨者
adhesion	黏著
adhesive	膠粘
adjacent	相鄰
adjective	形容詞
adjoin	毗連
adjourn	散會
adjudicate	審結
adjudication	裁決
adjust	校準
adjustable	可調
adjustment	調整
administer	管理
administrate	管理
administration	文職
administrative	行政
administrator	行政官員
admirable	令人欽佩
admiral	上將
admire	心儀
admit	接納
admonish	告誡
admonition	訓詞
adobe	版築
adolescence	青年期
adonis	阿多尼斯
adopt	可決
adoption	收養
adorable	可愛
adoration	崇拜
adore	愛慕
adoring	深情款款
adorn	點綴
adorned	絢
adornment	裝
adrenaline	腎上腺素
adsl	非對稱式數據用戶線
adult	大人
adulterate	羼水
adulterer	毐
adultery	通姦
advance	提前
advanced	高等
advantage	有利條件
advantageous	有利
advent	到來
adventitious	不定
adventure	奇遇
adventurous	闖盪
adverb	副詞
adversary	對手
adverse	不順
adversity	不幸
advertise	發揚光大
advertisement	強打
advice	忠告
advise	規勸
advised	奉勸
adviser	指導教授
advisor	諮詢員
advisory	咨詢
advocate	大肆鼓
adz	晏啲走
adze	錛
aeneas	伊尼亞斯
aeneid	伊尼伊德
aerate	加氣
aeration	通氣
aerobic	有氧
aerobics	健美操
aerodrome	航空港
aerodynamics	空氣動力學
aeronautics	航空術
aeroplane	飛機
aerosol	氣溶膠
aeschylus	阿奇里斯
aesthetic	講究
aesthetics	美學
affable	和藹可親
affair	事情
affairs	事體
affect	關係
affectation	裝佯
affected	做作
affection	情愛
affectionate	情種
afferent	傳入
affiliate	關聯公司
affiliated	所屬
affinity	親緣
affirm	斷言
afford	力足以做
affordability	可支付性
affordable	支付得起
afghan	阿富汗
afghanistan	阿富汗
aflame	點燃
aflatoxins	黃曲霉毒素
afloat	浮著
aforementioned	前揭
afraid	生怕
africa	非洲
african	非洲人
aft	時弊
after	以後
afterall	畢竟
afterbirth	胞衣
afterglow	晚霞
aftermath	後果
afternoon	下午
aftershock	餘震
afterward	以後
afterwards	在此之後
afterword	後記
again	再一次
against	靠
agamemnon	亞格門農
agar	洋菜
agate	瑪瑙
age	時代
aged	年老
agency	機構
agenda	意圖
agent	經紀人
aggie	艾姬
agglutinate	黏著
agglutination	凝集
agglutinative	凝集的
agglutinin	凝集素
aggravate	加劇
aggregate	總數
aggregation	凝聚
aggressive	進取
aggressors	侵略者
agile	利落
agility	機敏
agitate	點火
agitated	忪
agitatedly	勃然
agitation	擾動
agnosia	認識不能
ago	時款
agonize	煩惱
agonized	苦澀
agony	極度痛苦
agoraphobia	恐曠症
agraphia	書寫不能症
agree	同意
agreeable	投機
agreement	同意
agressiveness	霸氣
agriculture	農業
agrypnotic	提神
ah	關島
ahead	在前
aid	相幫
aide	輔助
aidememoire	備忘錄
aids	愛滋病
ail	日神
ailment	病痛
aim	時式
aimless	盲目
air	樣子
airborne	空降
airbubble	氣孔
airconditioner	冷氣機
aircraft	飛機
airfield	機場
airflow	氣流
airline	航空公司
airliner	班機
airmail	航空郵件
airplane	班機
airport	機場
airship	飛船
airsoft	氣槍
airtight	不透氣
airy	通風
aisle	通道
akai	押解
al	是非
alabama	亞拉巴馬
aladdin	阿拉丁
alamo	阿拉摩
alan	牛欄
alangium	八角楓
alarm	警號
alarmed	著慌
alas	唉
alaska	阿拉斯加
albania	阿爾巴尼亞
albedo	反照率
albinism	白化病
album	像片簿
albumen	蛋白
albumin	白蛋白
alchemist	煉金術士
alchemy	煉金術
alcohol	酒精
alcoholic	酲
alcover	開間
aldehyde	醛
alder	榿
aldosterone	醛固酮
ale	日版
alert	警報
alexandria	亞歷山大里亞
alexia	失讀症
algae	胞藻
algebra	代數
algeria	阿爾及利亞
algorithm	算法
alias	別號
alien	外國
alienate	疏遠
alight	落
align	對齊
aligned	結盟
alignment	連珠
alike	有如
alimony	生活費
alishan	阿裡山
alive	有生氣
alkali	鹼
alkaline	鹼性
alkalinity	鹼度
alkalization	鹼化
alkaloid	生物鹼
alkane	烷烴
alkaponuria	黑尿症
alkene	烯烴
alkyl	烷基
alkylation	烴化作用
alkyne	炔
all	一概
allah	真主
allay	緩和
allege	申述
allegedly	據稱
allegro	快板
allergy	過敏
alleviate	減輕
alley	小巷
alliance	同盟
allies	友軍
alligator	短吻鱷
allocate	分配
allocation	分配
allotropy	同素異形體
allow	應許
allowance	限額
alloy	合金
alluvial	沖積
ally	友邦
almanac	年鑑
almighty	大能
almond	巴旦杏
almost	將近
aloft	在高處
alone	一個人
along	一同
alongside	並肩
aloof	無動于衷
aloud	大聲地
alpaca	羊駝
alphabet	字母
alpine	高山
alps	阿拉伯數字
already	經已
alright	冇問題
also	還有
alstom	阿爾斯通公司
altar	祭壇
alter	更改
alteration	變動
alternate	交流
alternately	交互
alternation	交變
although	雖說
altocumulus	高積雲
altogether	一共
altostratus	高層雲
altruism	舍己
alum	礬
aluminium	鋁
alumna	校友
alumnus	校友
always	一直
alzheimer	老年癡呆症
am	上午
amah	阿媽
amalgamate	融會
amanitin	鵝膏蕈素
amass	積聚
amateur	愛好者
amaze	驚奇
amazed	驚訝
amazement	驚異
amazing	了不起
amazon	亞馬孫
ambassador	大使
ambassadorial	大使級
amber	琥珀
ambience	氛圍
ambiguity	含糊
ambiguous	多義
ambition	雄心
ambitious	有雄心
ambivalent	多義
amblyopia	弱視
ambulance	救護車
ambush	要擊
amd	明珠
amei	張惠妹
amen	阿們
amend	改正
amendment	修正案
amenorrhoea	閉經
america	美國
americaeurope	美歐
american	美國
americium	銤
amethyst	紫水晶
amiable	可愛
amicable	藹然
amid	在﹍之中
amine	胺
amino	氨基
aminobenzene	苯胺
amiss	不對
ammeter	電表
ammonia	阿摩尼亞
ammonium	銨
ammunition	彈藥
amnesia	健忘症
amnesty	大赦
amniocentesis	羊膜穿刺術
amnion	羊膜
amoeba	變形蟲
among	在﹍之中
amount	多少
amoxicillin	阿莫西林
ampere	安培
amperemeter	電表
amphetamine	安非他明
amphibian	兩棲動物
amphibious	兩棲
ample	大量
amplification	擴增
amplifier	放大器
amplify	放大
amplitude	波幅
ampoule	安瓿
amputate	割除
amuse	使娛樂
amusement	樂趣
amusing	有趣
amway	安利
amy	時下
amylase	澱粉脢
an	旺角
anabolic	同化作用
anaerobic	無氧
anal	肛門
analgesic	解痛
analgin	安乃近
analogous	類似
analogy	比方
analyse	分析
analysis	分析
analyst	分析人士
analytic	解析
analyze	分析
analyzer	分析器
anaphylaxis	過敏性
anarchism	無政府主義
anastrophe	倒裝
anatolia	小亞細亞
anatomy	解剖
ancestor	祖先
ancestry	先祖
anchor	新聞主播
anchorage	停泊
anchovy	鳳尾魚
ancient	久遠
and	旺角東
andorra	安道爾
andrew	安德魯
androgen	雄激素
android	機械人
andy	旺角東站
anecdote	奇聞
anemia	血虧
anesthesia	麻醉
anesthetic	麻藥
anesthetics	麻醉學
anew	從頭
angel	天使
angelica	茞
anger	氣人
angina	心絞痛
angle	角度
angling	垂釣
anglo	盎格魯
anglofrench	英法
anglogerman	英德
anglosaxon	盎格魯薩克遜
angola	安哥拉
angry	大怒
angstrom	埃
anguilla	安圭拉
anguish	煩悶
anhydride	酐
animacy	動物性
animal	動物
animals	獸類
animated	生氣
animation	動畫
animosity	嫌隙
anise	八角
aniseed	大茴香子
ankle	腳踝
anklet	踝飾
ann	板凳
annals	史冊
annealed	韌
annex	分店
annihilate	全殲
annihilated	覆沒
annihilation	湮滅
anniversary	週年
annotate	注釋
annotation	附註
announce	通告
announcement	公告
announcer	報告員
annoy	打攪
annoyance	煩惱
annoyed	懊惱
annoying	要命
annual	週年
annulled	廢止
anode	陽電極
anoint	抹油
anomalous	變態
anonymous	匿名
anopheles	按蚊
anorexia	厭食
another	他人
anoxia	缺氧症
answer	對答
ant	關隘
antagonism	對抗
antagonist	敵手
antagonistic	對抗性
antarctica	南極洲
antecedent	先例
antecedents	來歷
antelope	羚羊
antenna	天線
antennae	觸鬚
anthill	垤
anthology	選集
anthracite	無煙煤
anthrax	炭疽
anthropologist	人類學家
anthropology	人類學
anthropomorphism	人格化
anti	抗
antiacid	解酸藥
antibacterial	抗菌
antibiotic	抗生素
antibody	抗體
anticapsizing	抗傾覆
anticipate	意料
anticipation	料及
anticline	背斜
anticlockwise	逆時針
anticoagulant	防血凝
anticodon	反密碼子
anticommunism	反共主義
anticorruption	反貪污
antidepressant	抗憂鬱藥
antiderivative	原函數
antidote	解藥
antiforeigner	排外
antifreeze	防凍
antifungal	抗真菌
antigen	抗原
antigua	安提瓜島
antihistamine	抗組胺
antiimperialist	反帝
antiimperialists	反帝
antiintellectual	反知識
antijapan	反日
antimatter	反物質
antimissile	反導彈
antimonopoly	反壟斷
antioxidant	抗氧化劑
antipyretic	消炎
antiqing	反清
antique	古玩
antiques	玩
antiquity	上古
antiscience	反科學
antiscientific	反科學
antisemitism	反猶太主義
antiseptic	防腐
antiserum	抗血清
antiship	反艦艇
antisubmarine	反潛
antitank	反坦克
antiterror	反恐
antithesis	對偶
antithetical	對立
antitoxins	抗毒素
antiviral	抗病毒
antivirals	抗病毒藥
antiwar	反戰
antlers	觡
antonym	對立面
anus	後門
anvil	鐵砧
anwar	安華
anxiety	擔懮
anxious	情急
anxiously	擔憂地
any	一點
anyang	安陽市
anybody	任何人
anyhow	無論如何
anymore	不再
anyone	有人
anything	甚麼
anyway	不管怎樣
anywhere	無論何處
aoc	時價
aomen	澳門
aorta	主動脈
apart	分開
apartheid	種族隔離
apartment	公寓
apathetic	冷淡
apathy	思想頑鈍
ape	無尾猿
apec	亞太經濟合作組織
aperture	光圈
apex	頂尖
aphasia	失語
aphis	蚜
aphorism	警句
aphrodisiac	春藥
api	牛百葉
apical	舌尖
apiculture	養蜂
apiece	各自
apo	最怕係
apocalypse	啟示
apollo	日神
apologist	辯護士
apologize	道歉
apology	道歉
apostasy	叛教
apostate	異教徒
apostle	使徒
apostrophe	省略符號
apotheosis	神化
appal	驚恐
apparatus	機關
apparent	明顯
apparently	看來
apparition	幽靈
appeal	上訴
appear	出現
appearance	要樣兒
appease	安撫
appeasement	綏靖
appellation	稱謂
append	追加
appendicitis	盲腸炎
appendix	附件
appetite	食慾
appetizer	小菜
appetizing	香
applaud	叫好
applause	掌聲
apple	蘋果
appliance	用具
applicable	應用
applicant	申請人
application	用途
applique	補花
apply	應用
appoint	指定
appointed	聘任
appointment	任命
apportion	分攤
appraisal	考覈
appraise	評章
appreciate	感謝
appreciation	賞識
apprehend	緝獲
apprehensions	顧慮
apprehensive	大驚失色
apprentice	學徒
approach	上來
approaching	未來
appropriate	得當
appropriation	撥用
approval	認可
approve	同意
approximate	大概
approximately	大約
approximation	近似
apricot	杏子
april	四月
apron	圍裙
apropos	中肯
apsis	近地點
apt	問世
aptitude	資質
aqsiq	國家質量監督檢驗檢疫總局
aquaculture	水產業
aquarium	水族館
aquatic	水上
aqueduct	水道
arab	明唔明
arabesque	雕花
arabia	阿拉伯
arabian	阿拉伯
arabic	阿拉伯
arabs	阿拉伯人
arachnid	蜘蛛類
aramaic	阿蘭文
arbitrage	套利
arbitrarily	任意
arbitrary	擅斷
arbitration	仲裁
arbor	機軸
arboreal	樹棲
arboretum	植物園
arbovirus	蟲媒病毒
arc	問吓
arch	拱門
archaeologist	考古學家
archaeopteryx	始祖鳥
archbishop	大主教
archcriminal	罪魁禍首
arched	穹形
archenemy	冤家對頭
archeology	考古
archer	弓箭手
archery	射箭
archetype	原形
archipelago	列島
architect	建築師
architectural	建築學
architecture	結構
archive	資料庫
archives	案卷
archway	拱道
ardent	熱心
ardor	熱忱
arduous	險峻
are	正在
area	地方
areca	檳
arena	舞台
argentina	阿根廷
argue	主張
argument	道理
argumentation	論法
aria	詠嘆調
arid	乾燥
arise	上升
aristocracy	王侯
aristocrat	貴族
aristocratic	貴族化
arithmetic	算法
arizona	亞利桑那
ark	方舟
arkansas	阿肯色
arm	亞美尼亞
armadillo	犰狳
armaments	軍備
armband	臂章
armchair	扶手椅
armenia	亞美尼亞
armistice	停戰
armlet	臂章
armoire	衣櫃
armor	甲鎧
armpit	胳肢窩
arms	軍火
armstrong	阿姆斯特朗
army	問吓
armycivilian	軍民
arnebia	紫草
aroma	氣味
around	大約
arouse	動員
arp	升呢
arrange	安排
arrangement	安排
array	數組
arrest	抓走
arrival	到來
arrive	到來
arrogance	自傲
arrogant	大樣
arrogation	越權
arrow	箭頭
arrowhead	箭頭
arrowquiver	掤
arse	屁股
arsenal	軍火庫
arsenic	砒
arsenous	亞砷
arsine	砷化氫
arson	放火
arsonist	縱火犯
art	美術
artaxerxes	亞達薛西
artefact	人工製品
artemisinin	青蒿素
artery	動脈
artful	刁
arthritis	關節炎
arthropod	節支動物
article	文章
articles	物品
articulate	口齒
artifact	人工製品
artificial	不自然
artillery	大砲
artisan	工匠
artist	大師
artistic	美觀
artless	天真
arts	文科
aruba	阿盧巴
as	不啻
asbestos	石棉
ascend	上昇
ascertain	驗明
asceticism	禁慾主義
ascomycete	子囊菌
ash	開刀
ashamed	羞愧
ashbin	廢物箱
ashcolored	灰白
ashen	鐵青
ashes	灰燼
ashore	岸上
ashtray	煙灰缸
asia	亞細亞
asian	亞洲
asiapacific	亞太
asic	專用集成電路
aside	一旁
ask	要求
askew	歪
asleep	睡著
asmara	阿斯馬拉
asparagus	蘆筍
aspect	方面
aspergillus	曲霉毒素
asphalt	柏油
aspirated	吐氣
aspiration	心願
aspire	熱望
aspirin	阿斯匹林
ass	星匯居
assailant	兇手
assassin	刺客
assassinate	暗殺
assassinated	遇害
assault	行兇
assay	試金
assemble	相聚
assembly	部件
assent	俞
assert	陳說
assertion	斷言
assess	評價
assessment	評估
asset	資產
assets	資產
asshole	屁眼兒
assiduous	刻苦
assign	分配
assignment	工作
assimilate	吸取
assist	幫助
assistance	幫助
assistant	幫手
associate	交往
association	交往
associativity	結合律
assume	以為
assumption	臆測
assurance	把握
assure	包管
assuredly	固
asterisk	星號
asteroid	小行星
asthenosphere	軟流圈
asthma	氣喘
astigmatism	散光
astonish	使吃驚
astonished	奇異
astonishing	可驚
astonishment	驚訝
astounded	訝
astray	走錯
astringent	澀味
astrologer	星相師
astrology	星相學
astronaut	太空人
astronomer	天文學家
astronomy	天文
astrophysics	天體物理學
astute	精明
asylum	庇護
asymmetric	非對稱
asynchronous	非同步
at	時期
ate	景美溪
atheism	無神論
atheist	無神論者
athena	雅典娜
atherosclerosis	動脈粥樣硬化
athlete	選手
athletics	體育
atlanta	亞特蘭大
atlantic	大西洋
atlantis	大西國
atlas	大地圖
atm	星期一
atmosphere	大气候
atom	原子
atomic	原子
atomizer	噴霧器
atonement	贖罪
atrocity	暴行
atrophy	退化
atropinization	阿拖品化
attach	連接
attache	參贊
attached	附屬
attachment	附著
attack	打擊
attacker	襲擊者
attain	高達
attempt	試圖
attend	出席
attendant	出席者
attentative	勤勤
attention	心神
attentive	細心
attentively	用心
attenuate	衰減
attic	閣樓
attire	裝束
attitude	身態
attract	引起注意
attraction	引力
attractive	有吸引力
attractiveness	吸引力
attribute	特性
attribution	歸功
atypical	異形
au	問你
aubergine	茄子
auction	拍賣
audi	奧迪
audible	聽得見
audience	會眾
audio	聽覺
audiovisual	音像
audit	審計
audition	面試
auditor	審計長
auditorium	會堂
audrey	奧黛麗
auger	錐子
augment	加添
august	八月
aunt	伯母
auntie	伯母
aunty	老大孃
aurora	歐若拉
auspicious	值得慶幸
austere	拙樸
austerity	冰霜
australia	澳洲
australian	澳大利亞
austria	奧地利
autarchy	自給自足
authentic	道地
authenticate	通行證
authenticated	确
author	作家
authorise	覈准
authoritative	有權威
authorities	當局
authority	大家
authorization	許可證
authorize	授權
authorized	受權
autism	自閉症
auto	自動
autobiography	自傳
autocracy	專制
autograph	題名
automatic	自動
automatically	自然而然
automation	自動化
automobile	自動車
autonomous	自行
autonomy	自治
autopsy	尸體解剖
autoradiography	自動射線攝影
autotroph	生產者
autumn	秋天
auxiliary	附屬
available	資用
avalanche	雪崩
avarice	貪慾
avaricious	愛財
avenge	報仇
avenue	大道
average	通俗
avert	避免
aviation	飛行
aviator	飛行員
avid	貪慾
avoid	生怕
await	等待
awake	清醒
awaken	叫醒
award	給予
aware	自覺
awareness	意識
away	外出
awe	威嚴
aweinspiring	威顯
awesome	好極
awful	可怕
awfully	不亦樂乎
awkward	不得勁
awkwardsounding	拗口
awl	錐子
ax	時框
axe	日版
axiomatic	公理
axis	主軸
axle	輪軸
axon	軸突
azalea	杜鵑
azerbaijan	阿塞拜疆
azimuth	方位
azure	天藍色
azurite	石青
baal	巴力
babesiosis	巴貝西亞原蟲病
baby	寶寶
babylon	巴比倫
bacchus	酒神
bach	巴赫
bachelor	光棍
bachelorhood	單身
bacillus	炭疽
back	後面
backbite	嘀
backbiting	戳壁腳
backboard	籃板
backbone	志氣
backdrop	背景
backfield	後衛
backgammon	雙陸棋
background	本底
backing	支持
backlog	積壓
backscatter	反散射
backstage	後臺
backstroke	仰泳
backtofront	顛倒
backup	備用
backward	向後
backwards	朝後
backyard	後院
bacon	煙肉
bacteria	細菌
bacterial	細菌
bacterium	微菌
bad	不善
badaling	八達嶺
bade	膠合板
badge	像章
badger	獾
badly	嚴重地
badmannered	沒分寸
badminton	羽毛球
baffle	迷惑
baffling	莫名其妙
bag	不雅觀
baggage	行李
baguette	法國長棍
bahrain	巴林
bail	保證金
bailiff	鎮長
bailor	保證人
bait	誘餌
bake	烘烤
bakelite	膠木
baker	麵包師
bakery	麵包店
balance	天平
balanced	均衡
balcony	包廂
bald	光光
baldness	脫髮
baleful	煞
balkan	巴爾干
ball	舞會
ballad	民謠
ballet	舞劇
ballistic	彈道
ballistics	射擊學
balloon	氣球
ballot	選票
ballpark	大約
balls	丸子
balm	油膏
balmy	芳香
balpark	大略估計
balsam	鳳仙花
baltic	巴爾
balustrade	檻
bamboo	竹子
ban	孟加拉國
banal	俗氣
banality	陳腐
banana	香蕉
band	樂隊
bandage	敷布
bandaid	創可貼
bandit	強盜
bandits	草寇
bandwidth	帶寬
bandylegged	羅圈腿
bane	克星
bang	重擊
bangalore	班加羅爾
bangkok	曼谷
bangladesh	孟加拉
banish	放逐
banishment	流放
banister	欄杆
bank	銀行
banker	銀行家
banking	金融
banknote	票據
bankruptcy	破產
banner	標題
banquet	晚宴
banter	戲謔
bantustan	班圖斯坦
banyan	榕樹
baosteel	上海寶鋼集團公司
baptism	領洗
baptist	浸信會
baptize	起名
baptized	受洗
bar	巴巴多斯
barb	倒刺
barbados	巴巴多斯
barbarian	野蠻人
barbarians	夷狄
barbarous	野蠻
barbecue	燒烤
barbel	鱒
barber	理髮師
barbershop	理髮店
barbican	闍
barbital	巴比妥
barbitone	巴比妥
barcelona	巴塞羅那
barcode	條形碼
bard	詩人
bare	光禿禿
barefoot	赤足
barefooted	赤足
barely	差一點
bargain	交易
barge	遊艇
baritone	男中音
bark	白
barking	叫聲
barley	大麥
barn	馬房
barometer	氣壓表
baron	男爵
barrack	收留所
barracks	軍營
barracuda	梭魚
barrel	大桶
barren	不毛
barrenness	不育症
barrier	障礙
barrister	大律師
barrow	小車
bartholomew	巴爾多祿茂
barycenter	質心
base	地基
baseball	棒球
baseless	莫須有
basement	地下室
bash	重擊
bashful	怕羞
bashfulness	臊
basic	基本
basically	大體
basil	九層塔
basin	水盆
basis	要素
basket	籃子
basketball	籃球
basque	巴斯克
bass	男低音
bassist	低音提琴手
bassoon	巴松管
bastard	大壞蛋
bat	用開
batch	批量
bath	洗浴
bathe	弄濕
bathrobe	浴衣
bathroom	衛生間
bathtub	浴缸
batman	蝙蝠俠
baton	指揮棒
battambang	馬德望
batter	連擊
battery	電池
battle	交戰
battleax	鉞
battleaxe	鏚
battlefield	戰地
battlefront	戰線
battlement	垛
battlements	堞
battleship	主力艦
baud	波特
bauxite	鋁土
bavaria	巴伐利亞
bawl	吆喝
bay	海灣
bayonet	刺刀
bazaar	義賣會
bbc	用具
bc	不出
be	賜酒
beach	海灘
beacon	標燈
bead	珠子
beak	鳥嘴
beam	發送
beaming	滿面春風
bean	豆子
beans	藿
bear	生育
beard	芒刺
bearer	負擔者
bearing	方位
beast	野獸
beat	打敗
beaten	受刑
beautician	美髮師
beautiful	美觀
beautify	美容
beauty	美人
beaver	海狸
beavery	水獺
because	因為
beckon	點頭招呼
becn	逆向擁塞通知
become	成為
bed	床鋪
bedboard	鋪板
bedbug	壁虱
bedclothes	被褥
bedcover	鋪墊
bedding	被褥
bedridden	臥病
bedrock	基岩
bedroll	鋪蓋卷兒
bedroom	睡房
bedside	床側
bedtime	就寢時間
bedwetting	遺尿
bee	月海灣
beech	櫸木
beef	眼濕濕
beefsteak	牛排
beehive	蜜蜂房
beekeeping	養蜂
beelzebub	比埃茲巴伯
been	月海灣
beeper	呼叫器
beer	啤酒
beeswax	蜂蠟
beet	甜菜
beethoven	貝多芬
beetle	金龜子
befall	臨到
before	以前
beforehand	在此之前
befuddled	昏沉
beg	請求
beggar	乞人
begin	開場
beginning	開頭
beginnings	緒
begonia	秋海棠
begrudge	捨不得
beguile	謆
behave	聽話
behavior	行為
behaviorism	行為主義
behaviour	為人
behead	砍頭
behind	不如
behold	觀
beige	米黃
beiges	嗶
beijing	北京
being	生物
belarus	白俄羅斯
belch	打嗝
belfast	貝爾法斯特
belfry	鐘室
belgium	比利時
belief	信念
believe	以為
believer	信徒
belittle	小視
belize	伯利茲
bell	門鈴
bellamy	貝拉米
belle	美人
belleslettres	隨筆
bellow	怒吼
bellows	風箱
bells	鐘樂
belly	肚子
bellyache	肚子痛
bellydancing	肚皮舞
belong	屬於
belongings	所有物
beloved	心愛
below	在﹍之下
belt	帶子
bemoan	哀嘆
ben	貝寧
benactyzine	苯那辛
bench	工作臺
benchmark	基準
bend	拳曲
bending	形變
bends	潛水夫病
beneath	在下
benediction	閉會祈禱
benefactor	捐款者
benefice	採邑
beneficence	澤
beneficial	有助
beneficiary	獲益者
benefit	有益
benevolence	恩德
benevolent	仁慈
bengal	孟加拉
bengalese	孟加拉語
benin	貝寧
bent	曲
bentley	賓利
benumb	麻痹
beong	應在
bequeath	遺贈
berate	訓斥
bereavement	哀失
beret	貝雷帽
bergen	卑爾根
beriberi	腳氣病
berlin	柏林
berlioz	柏遼茲
bermuda	百慕大
berry	漿果
berth	停靠
beryl	綠寶石
beseech	求
beside	在旁
besides	其外
besiege	圍攻
best	最好
bestow	賞賜
bestseller	暢銷
bet	體溫
beta	倍塔
betel	萎葉
betoken	預示
betray	出賣
betrothed	許字
better	較好
between	在﹍之間
betwitch	迷魂
beverage	飲料
bewail	悲歎
bewilder	迷惑
bewildered	迷迷糊糊
bewildering	目眩
bewitch	蠱惑
bewitched	著魔
bewitching	妖
beyond	不可能
bharal	岩羊
bhutan	不丹
bias	成見
biased	偏心
bib	服膺
bible	聖經
bibliographic	傳記性
bibliography	目錄學
biceps	肱二頭肌
bicker	計較
biconvex	雙凸面
bicycle	自行車
bid	出價
bier	柩
bifurcation	分叉
big	重大
bigger	更大
biggest	最大
bigheaded	耍嘴皮
bigstick	大棒
bihar	比哈爾邦
bike	電單車
bikini	比基尼
bilateral	兩岸
bildzeitung	圖片報
bile	膽汁
bilingual	雙語
bilirubin	膽色素
biliverdin	膽綠素
bill	法案
billards	枱球
billboard	廣告牌
billiards	台球
billion	十億
billionaire	富翁
billow	大浪
billows	浪濤
binary	二元
bind	聯結
binding	結合
binzi	檳子
bioactivity	生物活化性
bioassay	生物測定
biochemistry	生化
biochip	生物晶片
biocoenosis	群落
biodegradation	生物降解
biodiesel	生物柴油
biodiversity	生物多樣性
biofuel	生物燃料
biogas	生物氣體
biography	傳記
biological	生物
biologist	生物學家
biology	生物學
biomass	生物量
biomaterials	生物材料
biomechanics	生物力學
bionicist	仿生學
bionics	仿生學
biopolymers	生物高分子
biopsy	活體檢視
bioreactor	生物反應器
biosensor	生物傳感器
biospecificity	生物專一性
biosphere	生物界
biotechnology	生物科技
biped	雙足
birch	樺木
bird	飛鳥
birdcage	鳥籠
birdlike	似鳥
birds	鳥類
birmingham	伯明翰
birth	出生
birthday	生日
birthmark	痣
birthplace	出生地
birthrate	出生率
